Minisector,ALB,PER,Fastest
0,305.7092547380755,293.7376369628981,ALB
1,321.72526459732023,306.6386588310777,ALB
2,297.19831534475304,287.3397515502363,ALB
3,105.41442728412036,110.62432458154619,PER
4,228.36820772808167,226.42674792949617,ALB
5,283.1881122653036,268.98778846467445,ALB
6,214.95192659940773,211.00711320253487,ALB
7,157.548656548246,164.0403601444683,PER
8,191.05087358798124,189.6313653392181,ALB
9,203.0081310284892,211.29379814017133,PER
10,110.08106871502285,111.34690001700413,PER
11,224.18602592610418,227.68124216891096,PER
12,117.85441340069752,110.74575277110421,ALB
13,221.74372650993521,220.39618436478986,ALB
14,270.9552349761548,270.9981466215681,PER
15,211.7413142421176,218.28067643239723,PER
16,195.33523326040458,199.66647553585608,PER
17,247.91856801872223,254.0461954782609,PER
18,201.26832777117613,208.3042926043971,PER
19,185.09376995800602,177.04103983890195,ALB
20,269.74725975319075,267.11084609689794,ALB
21,295.39208440699844,293.86057257505666,ALB
22,159.42510434871028,162.68194545175905,PER
23,209.5125500289368,204.5103118350037,ALB
24,270.4216863456382,273.00995834377096,PER
25,284.25000106666664,286.7291669333333,PER
