Minisector,RAI,OCO,Fastest
0,292.7536416717087,285.2504916078431,RAI
1,127.19251673138412,123.68855870789199,RAI
2,161.4466203296163,159.89655040000002,RAI
3,219.4104203460807,211.31068634531522,RAI
4,159.34122528901324,159.4989729681445,OCO
5,245.55589945902088,244.06558440715253,RAI
6,223.35817887919066,205.73181480000002,RAI
7,138.23458206710552,134.4975149343952,RAI
8,239.35812442666665,235.11124874666666,RAI
9,281.20312466666667,279.6578337961086,RAI
10,290.579167,287.89947946666666,RAI
11,147.7622485010101,144.12110347933591,RAI
12,226.91549570558718,222.62252023768335,RAI
13,276.4264700235294,273.0391736952381,RAI
14,259.31088112592596,274.69673215157485,OCO
15,99.09876051585631,99.70660212169943,OCO
16,223.72465512795927,220.02669774031253,RAI
17,279.38749913333334,277.5917315,RAI
18,307.4790075733334,300.22750016000003,RAI
19,323.2680645985139,313.29801603047616,RAI
20,328.29531736380954,320.53752743238954,RAI
21,294.1463568,288.43610927407406,RAI
22,152.61543743901692,145.56733952864485,RAI
23,238.99999859649122,231.927460300839,RAI
24,285.9264877883598,279.71481517037034,RAI
