Minisector,VER,RAI,Fastest
0,287.55898862688167,292.7536416717087,RAI
1,136.22619047619048,127.19251673138412,VER
2,154.25634251009134,161.4466203296163,RAI
3,227.54761904761904,219.4104203460807,VER
4,165.5977281742789,159.34122528901324,VER
5,242.13492063492063,245.55589945902088,RAI
6,233.58761454469936,219.08173631922585,VER
7,139.60859935302275,138.63563000853298,VER
8,232.62965417543438,239.35812442666665,RAI
9,275.83796296296293,281.20312466666667,RAI
10,286.5432287333333,287.48284379607844,RAI
11,154.506451372043,144.9441415,VER
12,218.56592281904764,226.91549570558718,RAI
13,269.4953288216002,276.4264700235294,RAI
14,272.3106481185185,259.31088112592596,VER
15,105.75473108171099,102.37939831518158,VER
16,219.47712355680025,228.47774576075523,RAI
17,271.8666666666667,280.412604172549,RAI
18,293.9236978,309.02472192,RAI
19,305.0947619352381,323.85019362527964,RAI
20,311.4547619047619,328.8164114612245,RAI
21,292.0203138666667,279.4524538980392,VER
22,159.33779735560267,152.0242851047619,VER
23,237.44407887719296,242.34758624561402,RAI
24,278.61282798861015,286.9454479327731,RAI
25,290.3749984,,VER
