Minisector,PER,RUS,Fastest
0,270.49537064231816,267.00072539577246,PER
1,290.7292636146283,285.80543923714924,PER
2,294.1062950078908,288.6288145352765,PER
3,125.75323065582411,121.16681496713424,PER
4,184.2234404250295,192.70461909336112,RUS
5,249.4282592671073,243.58764817407192,PER
6,132.56965733188275,137.6242259214485,RUS
7,193.4600530537228,204.08257635451898,RUS
8,255.09247048516423,255.22136670155388,RUS
9,280.48139863070264,273.46800945945995,PER
10,229.92039516883452,223.83014373763976,PER
11,167.33259544441415,179.22371725085785,RUS
12,185.2486652118895,188.5287489780254,RUS
13,140.83330507093822,148.44848035019496,RUS
14,175.7099963287423,173.11333381587303,PER
15,159.1078457488799,159.5769997025386,RUS
16,214.03771861499843,211.51985396055258,PER
17,230.77504487499561,223.0905021089512,PER
18,235.74347916937126,228.58079682186437,PER
19,233.3728325608753,245.0676619697391,RUS
20,145.06881552020474,146.90618227345865,RUS
21,128.2192191571726,137.00131989225994,RUS
22,163.84713447671623,163.82035169780872,PER
23,150.23936327564877,152.47653056192058,RUS
24,224.93095213711175,222.90965152055102,PER
25,,252.06944711111112,RUS
