Minisector,PER,VET,Fastest
0,273.1947756213585,272.17829869555555,PER
1,292.6224779916458,287.98268904748613,PER
2,291.204457536859,288.54185892525254,PER
3,186.66875511652503,184.36880956380952,PER
4,117.66081871267777,120.31025982179894,VET
5,230.78775488501347,231.47765317276662,VET
6,275.66565276389053,273.8564972722046,PER
7,290.8700690406926,284.90252131623845,PER
8,180.65462873732338,178.9155783278702,PER
9,138.5773910115855,140.03922076866436,VET
10,243.6480076736,241.95801825861818,PER
11,282.54904544548054,282.2165803805629,PER
12,295.32578304057233,296.78434448029685,VET
13,280.4632816498147,270.15514946934604,PER
14,294.80364828988064,286.927787454386,PER
15,301.1834719464048,293.3372727164464,PER
16,252.8182141448294,241.19760653675215,PER
17,216.5358076576784,212.68227555259725,PER
18,270.727070010694,266.66096195624345,PER
19,294.77741650723976,288.8874111938429,PER
20,304.7525985951065,297.92757203116884,PER
21,231.08339286228548,227.75211387675122,PER
22,250.67931258590622,253.06902025567237,VET
23,139.92274298145225,136.26817610074764,PER
24,209.4927037853865,199.70071696129204,PER
25,,253.177084,VET
