Minisector,BOT,OCO,Fastest
0,268.5614836448391,263.5352902339416,BOT
1,132.86533836976542,133.3619170893699,OCO
2,269.77372532244897,264.48243216891916,BOT
3,312.253830426501,307.8847750359008,BOT
4,310.20850693333335,307.07521047960887,BOT
5,321.21214847445884,313.64822592513576,BOT
6,335.2465911143687,319.0496528,BOT
7,339.26837110303035,317.12320044009135,BOT
8,205.43711201427658,206.83766179666577,OCO
9,203.9354358979124,196.54957768822055,BOT
10,180.25944041289708,188.94306474285713,OCO
11,171.04879457845777,158.15820337585325,BOT
12,259.0998131644578,249.4370847338993,BOT
13,276.14587878681317,278.5533949234568,OCO
14,281.00081285741135,277.2292130688125,BOT
15,272.79791459591837,276.37612354708995,OCO
16,190.62346859555853,184.67500188736125,BOT
17,195.8847962954284,189.4220177824672,BOT
18,245.92314942098605,239.94284023627273,BOT
19,291.5742472035389,288.72843362930405,BOT
20,311.9997398666667,312.72795137777774,OCO
21,316.5345497043478,319.6079105545894,OCO
22,315.0621527555556,318.98255813014106,OCO
23,261.82935776040205,271.0786415178855,OCO
24,117.2285245096583,113.64107991854826,BOT
25,,229.27860287815048,OCO
