Minisector,VER,NOR,Fastest
0,296.3139273414588,333.67373303371414,NOR
1,286.53168559720893,307.23036063492066,NOR
2,185.15905208828434,168.81771784623433,VER
3,212.5828717196215,196.1457148038095,VER
4,226.6097367082061,225.8916449536083,VER
5,267.501999744,265.910333056,VER
6,241.66626470127233,228.93348304828143,VER
7,218.7329439681567,210.50931559398134,VER
8,176.55076389523714,163.4410082360619,VER
9,181.6724619168234,180.25743835183127,VER
10,195.23862352623294,179.36420697176226,VER
11,214.11439306285214,209.70763060577548,VER
12,254.80153205365397,238.40591193844898,VER
13,177.10077683810957,166.63964863534412,VER
14,247.07300713863225,249.97631983498164,NOR
15,274.9842579748416,275.2264998826667,NOR
16,275.6021791527204,269.2457699495689,VER
17,273.0976449391304,260.25496836923077,VER
18,264.26997808992627,250.75602959391068,VER
19,256.55024290652557,248.2337395153622,VER
20,264.8814063370069,261.57719689396174,VER
21,204.93060147099132,190.3529824232836,VER
22,225.7738989043119,221.83763921481543,VER
23,274.46949973333335,279.3091770432553,NOR
24,285.2581521623188,300.3830139537812,NOR
25,286.0,305.6,NOR
