Minisector,PER,SAI,Fastest
0,293.11420752217686,292.4854681406555,PER
1,167.55845240482165,156.07865934371915,PER
2,173.6993114692289,179.25462526715899,SAI
3,256.1737949042424,257.99685016806876,SAI
4,283.858379543319,287.58322524444446,SAI
5,253.8048004344653,251.09349198603994,PER
6,227.14548026358278,226.2468798619798,PER
7,150.48848436706658,150.25113494107583,PER
8,229.18417995844774,226.34442926728408,PER
9,282.91363601454543,281.432403713063,PER
10,301.6894500529005,299.0478945122807,PER
11,311.35728456605045,307.8596215727752,PER
12,316.0029959299048,312.6515365934837,PER
13,313.58037237131083,312.12521988651633,PER
14,130.61270708692672,121.52757484704158,PER
15,119.41209502086492,117.2494887535167,PER
16,99.6603508282187,108.03898068435204,SAI
17,236.48231616725886,240.93258832169315,SAI
18,287.52976176483185,289.347951905655,SAI
19,308.6746691238095,307.7018628968688,PER
20,319.5836435846465,318.2757146522367,PER
21,321.72036423553425,320.7055618531987,PER
22,120.40401668471884,117.39616202950967,PER
23,203.8623776899408,216.612923397871,SAI
24,270.73345638726744,272.1049371221055,SAI
25,285.7,,PER
