Minisector,TSU,HAM,Fastest
0,249.9235605388006,250.69756484034633,HAM
1,211.18241928066485,218.78029061651756,HAM
2,202.65008363848932,198.16032206768088,TSU
3,258.12903644971044,255.93495651091416,TSU
4,272.48155281535355,269.2279541361039,TSU
5,286.2010222419753,288.6827915426128,HAM
6,161.79456666517532,180.10876322233167,HAM
7,183.15035180161092,170.86179626431903,TSU
8,264.90102113630854,262.84300344565656,TSU
9,289.01532914378066,292.3879945446236,HAM
10,299.9144135545679,304.1863886807843,HAM
11,302.27141357656564,305.9373571373529,HAM
12,112.43219358476598,120.43917291771719,HAM
13,194.78321567324252,183.46995273147462,TSU
14,268.70574676611693,267.61448873076836,TSU
15,291.36780832608764,294.8172733927477,HAM
16,296.4620109714286,303.375781384127,HAM
17,176.59875244624064,190.54368237960182,HAM
18,220.46803204217687,214.0726379217812,TSU
19,266.18559163336687,267.422337668254,HAM
20,147.3366529037838,156.59111537966976,HAM
21,143.50803462975907,141.63764260001224,TSU
22,219.73255475777697,220.00140154719006,HAM
23,231.00773765286235,241.8518562339921,HAM
24,156.38882131692498,150.76584670042715,TSU
25,,222.31428571428572,HAM
