Minisector,SAI,GIO,Fastest
0,153.10802502472592,209.71653033866295,GIO
1,160.8668855692389,211.03501146558037,GIO
2,159.1287259753328,177.79251613605442,GIO
3,114.13659698908819,235.7284741362478,GIO
4,139.84583344197532,276.62440385641025,GIO
5,133.48295350213922,300.81927940013696,GIO
6,105.97732381134762,318.28263813333336,GIO
7,176.40398437575433,308.2623329382551,GIO
8,210.59467787114846,143.58239576263736,SAI
9,125.88575875725729,175.83616108532283,GIO
10,139.84532967032968,243.55373334522474,GIO
11,217.01922649190584,279.49134523076924,GIO
12,249.0182910258658,301.26586985540354,GIO
13,263.8357142857143,317.3755402112554,GIO
14,272.32472527472527,323.62416650666665,GIO
15,276.5333334153846,289.543215519902,GIO
16,228.48677226666666,98.08215960552141,SAI
17,81.01758103362637,137.32427327121445,GIO
18,107.87289229192135,234.91722060190477,GIO
19,174.3656431206256,277.15230412333926,GIO
20,175.8804711256236,301.15360982278185,GIO
21,176.7106575963719,313.02840911515153,GIO
22,159.40107749660277,278.4785734095238,GIO
23,171.83465847272726,122.27364423256387,SAI
24,116.16138697943556,162.339744,GIO
25,,237.80403049654947,GIO
26,,263.1559526095238,GIO
27,,189.26564971575186,GIO
28,,170.18035555555556,GIO
29,,229.40594151354557,GIO
30,,187.31312313502977,GIO
31,,201.23726697777778,GIO
32,,247.90651553603277,GIO
33,,273.30492118940913,GIO
34,,289.7631404307692,GIO
35,,299.55509238518516,GIO
