Minisector,SAI,ALO,Fastest
0,260.65726118310727,267.7143271403922,ALO
1,278.2020634311111,289.20419363387504,ALO
2,283.7623631541853,296.51338382222224,ALO
3,134.58441517083853,131.20404596353472,SAI
4,190.6531060077073,181.1019504158368,SAI
5,251.72311414919673,259.1630851320301,ALO
6,140.1705407690261,141.2414643239139,ALO
7,206.47225317128445,185.18884610329494,SAI
8,253.9202932413673,245.83757065457294,SAI
9,274.3879563598763,270.38926264603424,SAI
10,229.94326530612247,236.69611874245612,ALO
11,174.64006311638803,189.91425556238448,ALO
12,184.0830597516957,173.55921426778195,SAI
13,146.62702400371387,147.47863547921665,ALO
14,165.06954966483275,156.9244713927192,SAI
15,155.37976157742506,150.7821781716318,SAI
16,213.5663785211538,191.9562240982659,SAI
17,230.7883005286627,235.33574977661863,ALO
18,232.88587850434683,220.21705416219334,SAI
19,234.31436181813663,247.7427625924934,ALO
20,144.15183240167764,137.6836417062313,SAI
21,132.05284974234132,147.3752412176571,ALO
22,166.5245836629218,146.58498303596198,SAI
23,147.8152508615787,141.0007697399647,SAI
24,227.40954851184156,209.9743801247536,SAI
25,,246.41583306666666,ALO
