Minisector,OCO,RUS,Fastest
0,253.9236153295238,261.70832856960993,RUS
1,128.70495677124265,131.08367941047618,RUS
2,197.33903262984126,200.39882227984037,RUS
3,242.5523774245926,245.05761132799998,RUS
4,253.56762900410268,253.6876507809524,RUS
5,173.48829178412697,171.60162571033752,OCO
6,147.12044793629568,141.76872440575892,OCO
7,178.51361256533332,178.5628149461472,RUS
8,97.2595642673903,96.00068115725871,OCO
9,72.20307600632867,71.40730672388803,OCO
10,92.77222141242693,94.896879849764,RUS
11,181.11512835943978,183.04990998949495,RUS
12,238.2098640987013,245.87888432006338,RUS
13,266.5154603331061,271.0242554130379,RUS
14,273.4515306122449,268.5444871876923,OCO
15,112.3739554333939,102.23081402668693,OCO
16,138.3346432078091,148.9105676858608,RUS
17,185.41036734419754,180.11628155121565,OCO
18,196.05866594855118,200.01049589706125,RUS
19,199.9270979854342,204.25587434394632,RUS
20,132.31179433025642,135.2953695556124,RUS
21,108.49849749010102,97.4515946065573,OCO
22,93.94178346371902,101.5010476238539,RUS
23,195.27537079703703,203.4155373357003,RUS
24,245.62564157264958,251.12467166222223,RUS
25,261.6666666666667,,OCO
