Minisector,RIC,NOR,Fastest
0,296.8119053028571,311.75462846850434,NOR
1,308.6395363849624,327.4310186074074,NOR
2,313.4383771508772,328.0575178734556,NOR
3,304.56416544,322.13425884444445,NOR
4,166.29290680301443,174.98833944360015,NOR
5,207.67718802411062,208.14329175462439,NOR
6,228.5055070778834,237.164476928,NOR
7,263.7135820783686,263.2565479111111,RIC
8,263.0020489609281,256.10851223188405,RIC
9,160.91841640542475,166.1866314718315,NOR
10,226.8982767671382,228.31947206718243,NOR
11,127.32085606057504,129.55429824818032,NOR
12,228.00990372571428,222.64775274215168,RIC
13,184.04512282172917,184.53313477048545,NOR
14,219.3956717948718,217.45185347160495,RIC
15,248.89122342939766,245.90108439138695,RIC
16,265.77227233181645,263.6989185385282,RIC
17,286.5057538031746,282.1216668266667,RIC
18,156.52880939391295,168.90740807757027,NOR
19,168.2177943449594,167.25551311681164,RIC
20,140.1474590317087,140.40152952868405,NOR
21,165.26898873560557,162.4853361058176,RIC
22,113.54488768034349,114.79283751960222,NOR
23,226.02756315897435,216.25659534652016,RIC
24,272.37499686836276,267.7599634216925,RIC
25,,282.75625119999995,NOR
