Minisector,HAD,RUS,Fastest
0,303.2036691014346,304.6183903554019,RUS
1,198.70778515216966,238.07478095853776,RUS
2,147.19650839313366,138.9825294701376,HAD
3,220.83779251313712,224.03153418852463,RUS
4,168.65743184003543,174.15346730120586,RUS
5,177.49527648877515,170.00705485452485,HAD
6,257.62146294528253,253.43584973565768,HAD
7,281.4229391845926,281.01513286989933,HAD
8,289.5377342374695,288.79076701818184,HAD
9,263.31567091450984,261.9770631484284,HAD
10,244.12427122238773,245.97462988248353,RUS
11,246.86866480772915,246.71941857708512,HAD
12,208.9165708984212,215.61936634890674,RUS
13,133.22716276631928,127.58842492693523,HAD
14,138.9099973297044,142.80928647038343,RUS
15,181.85727857820106,161.19315646745022,HAD
16,249.94386547032195,242.19467514243388,HAD
17,234.91602069892065,247.75185829854638,RUS
18,114.69871238414156,114.36797561944609,HAD
19,196.77134170817243,186.51099583476653,HAD
20,202.56332859066345,202.5251597179281,HAD
21,237.76227376931217,234.74878509714284,HAD
22,265.560864579612,267.1438739770409,RUS
23,286.59770696677816,284.93958318933335,HAD
24,297.9974217777778,297.5954861297778,HAD
25,,303.18374975999996,RUS
