Minisector,NOR,SAI,Fastest
0,298.50590027203475,302.3381252444444,SAI
1,206.4051817333333,206.72065832471893,SAI
2,138.13649755836224,139.08684264450216,SAI
3,215.93985595370242,213.59140309952414,NOR
4,154.45534623837366,156.8784060807867,SAI
5,179.1986340996633,178.45846482577159,NOR
6,252.76603231923227,251.17416746666666,NOR
7,277.36434116929877,276.9433895529412,NOR
8,284.43359269925924,286.2739999969524,SAI
9,257.3683346719564,259.7380732207408,SAI
10,241.04755475575632,245.75636450933334,SAI
11,238.0926336023585,244.47530675134456,SAI
12,202.23285662823363,207.13011122105462,SAI
13,133.17249286486486,133.14410239563142,NOR
14,137.9442084297933,136.26722524348403,NOR
15,185.30979679800254,178.80646571623933,NOR
16,259.8034541827819,249.3047459261457,NOR
17,235.2261056956862,243.296030242109,SAI
18,109.92969607936507,111.34335505173091,SAI
19,200.55304872597134,192.00400187022223,NOR
20,190.52978155642387,190.80029275484503,SAI
21,229.3936872338614,230.9035823892769,SAI
22,268.6708748963988,262.3693547611544,NOR
23,292.07310582753246,283.68962201745114,NOR
24,312.4882799015202,296.47927369238096,NOR
25,318.60833279999997,302.0954548363636,NOR
