Minisector,ALB,RIC,Fastest
0,257.845500054881,247.56920962351936,ALB
1,209.16110584761904,208.9585182137211,ALB
2,217.2010720136668,221.4674479990963,RIC
3,261.77403831794874,262.3096340091711,RIC
4,276.4433710010241,276.61933316266663,RIC
5,224.37761172493248,226.66610930285566,RIC
6,96.31874763410815,96.57175725666644,RIC
7,183.88852575294482,182.03736985244862,ALB
8,268.6954229343015,267.4615737283951,ALB
9,290.4425345777778,290.2630434782609,ALB
10,298.7719202782609,298.3159419826087,ALB
11,293.30185544032815,299.5820652057971,RIC
12,110.41165702342684,116.34803296318272,RIC
13,214.62982275003128,209.8792924767677,ALB
14,276.7666196485034,275.0305321830694,ALB
15,296.6190896758495,295.5195651478261,ALB
16,225.92368521255383,241.68560262474267,RIC
17,124.08642771682554,125.34923571119323,RIC
18,154.20515445194803,153.14622967340364,ALB
19,254.22154432320062,253.4689883526601,ALB
20,161.02600371036593,163.2031758367347,RIC
21,129.23707913043603,128.29572802620797,ALB
22,201.42219000871464,202.47340027574586,RIC
23,209.56768708257897,218.49818264876563,RIC
24,168.26094404619786,166.9046133736668,ALB
25,,227.85694506666667,RIC
