Minisector,NOR,GAS,Fastest
0,296.0907203552655,287.26990307145564,NOR
1,302.8024150974387,290.40652223238095,NOR
2,150.91271980130153,163.55138431180828,GAS
3,221.03627418548953,223.33458629288216,GAS
4,278.5010917121195,270.1461643040084,NOR
5,303.2960168205128,290.136822528785,NOR
6,316.3901255927438,294.96073556822967,NOR
7,161.5524249513525,182.24803410677825,GAS
8,127.61890542730572,119.37748298574415,NOR
9,250.681250840859,243.7787977798758,NOR
10,292.1911960711111,282.2525162640602,NOR
11,307.77633907886667,291.4276299617431,NOR
12,143.2041850130657,150.21278891864358,GAS
13,188.2321623509435,186.92508611166323,NOR
14,255.8284328056003,250.22414694013756,NOR
15,198.72107680048643,207.4173344612643,GAS
16,212.600903829842,212.25555648,NOR
17,209.40283165897148,210.7240881506471,GAS
18,243.09334887822223,239.57359779627842,NOR
19,277.7404170074074,274.31219259145007,NOR
20,293.45226915495795,288.2350961969231,NOR
21,264.3641535554145,268.2435426065934,GAS
22,221.98069094488835,224.98516123781462,GAS
23,196.14862242112667,198.86844294239955,GAS
24,263.7186105765935,258.2078728773813,NOR
25,285.98000128,278.60227374545457,NOR
