Minisector,TSU,LEC,Fastest
0,289.9369453657143,289.9154519352539,TSU
1,163.5627567217516,163.32104446282816,TSU
2,156.13202498388694,151.2666691064566,TSU
3,238.4047651879243,231.37099523226465,TSU
4,289.7388644920029,293.0781585438939,LEC
5,282.70816413671844,291.3443923123722,LEC
6,146.17556166077952,146.48381958379125,LEC
7,136.61396861057756,141.00371295324933,LEC
8,143.44280990553943,139.95475914073333,TSU
9,198.14140407823518,191.6297802751627,TSU
10,132.87992137306952,129.37068591049854,TSU
11,125.48291217874728,124.10542473689316,TSU
12,175.74524786515795,173.3565648484443,TSU
13,271.4909746380315,271.684616809651,LEC
14,292.9096781708558,295.4722036939454,LEC
15,147.99271101383334,156.72375114209513,LEC
16,199.37815545473615,202.41857942562154,LEC
17,171.2911381361303,175.7423125723968,LEC
18,273.1863257575758,274.0300480053648,LEC
19,297.2773097957758,298.50065077647844,LEC
20,312.18683980129174,314.4654165138624,LEC
21,320.837704478647,322.52922965174963,LEC
22,326.2018317844862,327.7304085142122,LEC
23,335.0013496497751,332.67530831253976,TSU
24,340.6075786723122,330.808230612633,TSU
25,342.51371578395657,327.0,TSU
