Minisector,RAI,HUL,Fastest
0,280.98270434708996,276.33496178552076,RAI
1,306.32770360119696,299.62548045128204,RAI
2,320.76388864,311.5976562,RAI
3,327.76831483076927,319.2404761904762,RAI
4,331.6360119619048,324.68621792820517,RAI
5,333.2548937426522,322.67435897435894,RAI
6,208.74842311552794,213.71122814891777,HUL
7,109.69233596503302,106.4485134326563,RAI
8,190.68156679704404,197.52565616271727,HUL
9,266.24036467488753,269.03532896806723,HUL
10,294.5699997866667,293.70952380952383,RAI
11,168.10075939998873,159.59976567699135,RAI
12,100.57152174704814,100.26368583857784,RAI
13,119.68038955572715,118.1858011946694,RAI
14,227.8035779094386,221.86258992761904,RAI
15,178.21739153623187,186.7818404166357,HUL
16,219.32145556643445,226.52812620490914,HUL
17,174.648334336,176.22901378725575,HUL
18,237.71470083657474,243.80482498245615,HUL
19,281.00755226666666,282.57936472380953,HUL
20,248.34166666666664,244.91567247866993,RAI
21,145.3739827317972,144.2389398219994,RAI
22,100.27378181907767,99.89818261893244,RAI
23,128.74336558431372,129.35643466997698,HUL
24,232.08613519650652,232.5859483983166,HUL
25,263.229168,,RAI
