Minisector,PER,HAM,Fastest
0,264.3578407137948,265.17846689163656,HAM
1,249.18256434567903,256.71790133909343,HAM
2,167.1611354211795,169.76030167102442,HAM
3,247.49314199161904,250.02914316190478,HAM
4,272.2218410524791,271.6923762759141,PER
5,196.46068105770308,195.33444726163884,PER
6,122.56149049938756,124.3360660908114,HAM
7,160.32711253853657,164.78557714801516,HAM
8,258.01252978649603,259.40149952,HAM
9,176.01897047017542,182.55412652365027,HAM
10,185.3881872980213,187.4468327457106,HAM
11,259.2684995413333,258.69656895853626,PER
12,249.8489401914779,246.32506621516754,PER
13,257.4711305377289,260.38821018147837,HAM
14,284.0690520950964,284.5264488811594,HAM
15,285.1790388935818,281.43125954495423,PER
16,150.78570367976567,145.5178411632842,PER
17,239.0538678095238,237.79196507737342,PER
18,284.71642824986293,286.92039280496897,HAM
19,296.99829541818184,303.04186493968257,HAM
20,300.53219684848483,309.30062216450216,HAM
21,304.9866539877672,315.1424602920635,HAM
22,154.48797544977646,132.6431112016973,PER
23,92.28786225014181,87.93312060686806,PER
24,180.45333113904763,187.1049320647495,HAM
25,246.791664,,PER
