Minisector,NOR,ALO,Fastest
0,322.22814069943473,319.47064567617963,NOR
1,319.4497992072804,322.8364601234286,ALO
2,169.95047516814947,178.7805497554461,ALO
3,163.74573246476191,149.38299382857141,NOR
4,200.48259446194243,201.33432412308886,ALO
5,150.32876751324682,144.92434241374787,NOR
6,207.16824905627982,194.57108358687628,NOR
7,272.6069833743916,263.24818906890755,NOR
8,293.0217024795592,284.4320172742857,NOR
9,288.96514733803923,276.34157415568365,NOR
10,240.00432407685884,230.941137792,NOR
11,241.10552996692786,235.38594902886828,NOR
12,220.42458668654245,210.38000426798195,NOR
13,174.7665390971492,193.35485525142857,ALO
14,142.02820744701768,137.5880065350602,NOR
15,133.70627446133105,131.69867685099123,NOR
16,207.14592621714286,172.7274667184762,NOR
17,272.17052913015874,253.88750866636934,NOR
18,200.98616366506667,264.49473677473685,ALO
19,114.38360308569008,112.09538830312809,NOR
20,212.3542848914286,179.68281042363859,NOR
21,189.05060596236558,182.291467916394,NOR
22,252.6782899321905,213.17354317333334,NOR
23,276.3172021285714,265.60141990636254,NOR
24,303.0339587131345,294.5190488928078,NOR
25,313.0,306.30555591111107,NOR
