Minisector,NOR,ALO,Fastest
0,296.0713980080145,293.8508191638481,NOR
1,308.02173225169594,301.6260670778118,NOR
2,307.0063722745092,306.243839625731,NOR
3,192.78188646875842,183.40262557989172,NOR
4,209.4452247165088,207.02826796710295,NOR
5,205.6538997483833,209.60928856306913,ALO
6,267.20343376950956,264.1131652405195,NOR
7,253.3282616139231,252.8178888331382,NOR
8,217.62219607566624,212.73929999337867,NOR
9,205.4905370864649,198.71223077321264,NOR
10,143.0020658374785,142.00721374812642,NOR
11,201.31039235261,201.81821819386835,ALO
12,186.69949370666788,186.36471138760626,NOR
13,252.92421129701393,252.85002184982457,NOR
14,178.86926472415678,176.04974483206735,NOR
15,236.13111084990112,237.87797013995814,ALO
16,280.63725092566426,281.7953814015559,ALO
17,293.9648884742857,291.37028099968603,NOR
18,289.2693897363408,281.8128821109251,NOR
19,272.91590179646494,262.990998409631,NOR
20,269.87058571914764,262.40781038596594,NOR
21,264.81167873061753,267.99998297566134,ALO
22,227.96962525950184,225.76338190390277,NOR
23,207.2581111817492,203.45314339180123,NOR
24,271.7165577156856,269.5511629424017,NOR
