Minisector,MAG,STR,Fastest
0,288.1870856486544,295.861131734166,STR
1,195.10720860063702,196.46554504987066,STR
2,227.20114289753252,225.83730021514904,MAG
3,270.96248411299723,269.34734850909086,MAG
4,230.8326397574251,228.51535585467383,MAG
5,126.06921478445646,126.4416885147589,STR
6,208.4064017458231,210.94451392569943,STR
7,255.67023780424555,255.30936038919572,MAG
8,206.21711134110703,206.5181375457544,STR
9,205.89077649192143,206.86827029568516,STR
10,261.9916225979027,262.36275917996505,STR
11,208.0302130374152,208.8174153300501,STR
12,175.42451125452635,177.9703499213865,STR
13,256.07125769433105,260.86032366754824,STR
14,276.97202825486653,281.1016058115869,STR
15,258.39648874933914,256.5141928296034,MAG
16,238.231234561271,242.41712191585464,STR
17,270.342304451212,274.15013117070043,STR
18,283.12141609071637,280.079107047619,MAG
19,175.16597533907665,171.672522506885,MAG
20,212.6579783113802,211.99003463519216,MAG
21,173.0577836587919,168.54483313269048,MAG
22,140.9554734132263,145.39898370381258,STR
23,237.02095519053023,238.72928528322376,STR
24,275.0114171053826,281.4867917500472,STR
25,285.45833173333335,,MAG
