Minisector,BOT,NOR,Fastest
0,297.6987472935759,295.2719551589743,BOT
1,235.22953968367474,235.635938,NOR
2,192.52169388979684,203.6941965608485,NOR
3,263.411512962224,267.5672840691358,NOR
4,228.1855638549856,224.24637388997297,BOT
5,114.03215212444061,111.15957795674814,BOT
6,174.3238214423572,175.05242114370316,NOR
7,257.05491127619047,255.8567939152709,BOT
8,287.6936903375238,284.68501884844125,BOT
9,304.2696447923716,296.33974214060066,BOT
10,304.05036243478264,290.2210237805714,BOT
11,240.79475908862295,221.47600103236806,BOT
12,147.51985571726837,147.51959922906389,BOT
13,253.32884947356897,257.17844394557824,NOR
14,290.05270951504036,289.13805941807993,BOT
15,300.371395513983,295.08437506666667,BOT
16,288.30802384457144,279.77163466666667,BOT
17,246.63180155570237,246.72416679111112,NOR
18,174.52276612816382,175.19509054127255,NOR
19,179.36998755668765,182.96009510692025,NOR
20,172.54490567355515,173.04992622105235,NOR
21,236.02773238436097,245.01822642118378,NOR
22,121.06097097193575,122.41118231808487,NOR
23,201.88948392880124,192.87863784126984,BOT
24,281.8097119348741,281.0955677707854,BOT
25,297.5916650666667,,BOT
