Minisector,LEC,BOT,Fastest
0,295.30379587160496,286.99722960380956,LEC
1,163.46209916813208,148.21191287496853,LEC
2,171.24850044732497,166.2261102419853,LEC
3,250.78502474933828,244.98149179193678,LEC
4,282.75977636598617,279.5763065837968,LEC
5,250.97287766105399,230.33979867581692,LEC
6,231.9721553772431,204.44464442549634,LEC
7,160.35128493973028,152.9392574358155,LEC
8,229.55952528895654,233.22366266274426,BOT
9,278.70274790549706,281.27460133521936,BOT
10,298.69637844771916,297.3265333628086,LEC
11,313.9528808765186,305.67756581894736,LEC
12,320.13377190175436,310.2135507998508,LEC
13,318.29162936485307,302.55300073323497,LEC
14,129.33554147480103,125.94958434583867,LEC
15,118.80568400976483,119.7835155886913,BOT
16,98.15035036638346,97.08587878635817,LEC
17,233.36959278099755,234.55812238890104,BOT
18,283.43594607847615,282.8517880535517,LEC
19,302.45455982419753,302.3481791555252,LEC
20,313.8088477970068,311.4217965228053,LEC
21,310.44844827107767,315.29354703316244,BOT
22,121.69518599481593,131.28554684172641,BOT
23,203.89970728277058,197.52153017533516,LEC
24,269.7969609968849,265.61815958805283,LEC
25,,279.63499904,BOT
