Minisector,SAI,PIA,Fastest
0,253.32794929953602,254.9619102590476,PIA
1,209.57329145334444,213.2678101787586,PIA
2,206.18897836011115,206.73515872122604,PIA
3,256.2089444947908,258.53094671634796,PIA
4,272.2947852909926,274.8113347731997,PIA
5,292.2242902421094,288.1088293728395,SAI
6,168.63826579742496,160.08668733699048,SAI
7,184.78419678756114,181.5114806498819,SAI
8,268.6782728,268.93949403442423,PIA
9,297.2232691404147,297.8490675968951,PIA
10,308.33311926245426,309.12340460948303,PIA
11,313.67174259745366,305.9917402369161,SAI
12,110.81633314135873,109.78968953789658,SAI
13,196.99474288298978,193.0846636238019,SAI
14,272.57147942647345,269.0974506683353,SAI
15,296.68717434180707,295.29661110222224,SAI
16,302.7685755507181,297.13218973605444,SAI
17,187.52025930446842,191.01357269818183,PIA
18,220.46330744396937,222.40217010285713,PIA
19,272.27754494439074,271.1177847552795,SAI
20,149.74897415623823,150.87947517259815,PIA
21,146.86190812653302,144.83733382411148,SAI
22,226.6684225184051,222.39562218114824,SAI
23,233.94158558118787,235.42225083392432,PIA
24,156.77025251576148,157.35537162290314,PIA
