Minisector,PER,MAG,Fastest
0,299.325500916934,300.6930182269388,MAG
1,307.54608637291005,311.39634779076925,MAG
2,159.1377622294165,156.6880061742857,PER
3,214.4340770191661,208.4502990421899,PER
4,276.55997745357575,279.1666002614379,MAG
5,303.75707398327586,306.49246621428574,MAG
6,312.95347243636365,319.10535734285713,MAG
7,155.76976004080754,168.95403802946907,MAG
8,120.82000620619013,117.37802404873061,PER
9,252.13819983102798,248.12629363809523,PER
10,296.75253752142856,296.44289700050876,PER
11,314.386363267483,310.4141965924233,PER
12,136.49295602114248,140.24936604475226,MAG
13,180.1885397250135,177.48858895121694,PER
14,248.75487559057643,250.58318699199998,MAG
15,197.5363489246978,197.7502764530403,MAG
16,207.93449721210334,198.84614094451254,PER
17,206.9246656763147,200.23994683903382,PER
18,238.577481554729,227.1407158529293,PER
19,276.3785438992593,270.42006867827706,PER
20,291.15937486666667,292.9089976279365,MAG
21,260.2496257110122,264.60420814984127,MAG
22,214.54619949272316,212.23054970167686,PER
23,200.03956959689754,193.35618823193425,PER
24,259.5978092407619,262.6261679387102,MAG
25,,287.06999808,MAG
