Minisector,NOR,SAI,Fastest
0,271.3832497360271,274.4631002892379,SAI
1,234.68344794883177,248.13347011844155,SAI
2,120.04112441736949,119.4471935371956,NOR
3,172.83537493328717,174.3447470919882,SAI
4,200.19174975045524,188.72051911193034,NOR
5,199.08010887999998,204.858393997676,SAI
6,262.02595162229403,266.9286110577778,SAI
7,283.65459242039645,288.3250676941302,SAI
8,219.98322588994708,227.19137732592594,SAI
9,150.41029899559405,144.81274691758313,NOR
10,117.93533140443898,124.37454692073987,SAI
11,160.66008242318466,164.4328316402837,SAI
12,248.50624993629629,249.2923291726839,SAI
13,160.2605872067221,154.9553415402849,NOR
14,148.49927478045228,148.79035433025345,SAI
15,108.60731310917885,106.64672872891153,NOR
16,214.18987736192827,224.17552028024843,SAI
17,238.00129397544654,236.26386538302276,NOR
18,129.0636028057065,129.04805614214527,NOR
19,237.25493999540424,244.08599801131814,SAI
20,275.1956138782766,275.6433640701387,SAI
21,203.20921421201533,191.73112764181718,NOR
22,146.5711781634317,172.26256347094738,SAI
23,218.6512662992475,221.87868057489177,SAI
24,232.58751410967614,235.27489903666876,SAI
25,258.4500032,,NOR
