Minisector,LEC,TSU,Fastest
0,298.287396766994,295.4778027701888,LEC
1,158.36096256155597,157.2813838103534,LEC
2,153.36749079758138,153.16085630202127,LEC
3,221.8191571784089,225.17152236190478,TSU
4,284.79961114725273,287.92373844821594,TSU
5,294.69679487179485,292.8923069538462,LEC
6,146.85736699120173,145.59171452278443,LEC
7,141.79925315153295,142.463083262841,TSU
8,148.4499830856908,146.1208641377007,LEC
9,178.2828470549503,178.61132977219506,TSU
10,133.15019343242696,130.30571745979938,LEC
11,127.36542764841245,128.2624079371662,TSU
12,160.61206272029705,165.3361055960145,TSU
13,264.77246360653305,270.61178005689237,TSU
14,292.56971171282055,293.2191667626667,TSU
15,155.65983870320701,153.5957839020408,LEC
16,214.04068583081232,202.8177627508772,LEC
17,166.5327723315942,173.05333154829933,TSU
18,269.9951748028377,273.61308227567184,TSU
19,291.78400008533333,295.29100014933334,TSU
20,304.3590773012518,308.8938048825293,TSU
21,311.2256952774707,316.66576092753627,TSU
22,314.9594203362319,319.80850697777777,TSU
23,317.56404916976595,322.58628475555554,TSU
24,303.63845235809526,320.945021582684,TSU
