Minisector,LEC,HAM,Fastest
0,308.7388528035277,312.2283452111271,HAM
1,198.05772668281205,217.20994620069266,HAM
2,220.9104981228369,217.8733288509807,LEC
3,270.82514922574313,271.5708245222071,HAM
4,227.71413292320324,249.71775629205433,HAM
5,126.82289989923355,122.15322697755481,LEC
6,205.48594166320987,192.6666569281385,LEC
7,244.51526732674702,244.95706211208488,HAM
8,236.4872343658197,233.45165067542857,LEC
9,238.63525955572106,238.54192527423396,LEC
10,285.30293814688423,288.49519722579174,HAM
11,308.52179876648864,310.2357771125019,HAM
12,319.36382260035276,322.1428708166685,HAM
13,316.671898688,319.1726887958095,HAM
14,304.90154987570503,306.61118407314285,HAM
15,249.22613424899902,250.4609167585547,HAM
16,232.7695461183516,239.89093746742856,HAM
17,272.35189624069113,276.44305594074075,HAM
18,279.0130622811429,289.1883292725019,HAM
19,156.71489010830152,151.96442892335867,LEC
20,196.74229901157676,197.8732343783788,HAM
21,169.15873733326646,170.9874611421997,HAM
22,136.61983639653735,137.95260528773412,HAM
23,228.87619030881157,236.0925570256804,HAM
24,291.551631863107,293.19902977804765,HAM
25,304.87000064,,LEC
