Minisector,VET,NOR,Fastest
0,311.08023084058203,306.19340736317866,VET
1,328.15225534292694,321.2145832888889,VET
2,314.35888145074455,283.29252432409737,VET
3,115.85901643251839,111.47410025025441,VET
4,224.867078020843,231.45319762690312,NOR
5,264.8164222949904,284.8086651111286,NOR
6,209.77755784344285,213.01862493429124,NOR
7,160.4047903747009,164.35733635201393,NOR
8,194.90154923029246,197.1101504530656,NOR
9,213.55698073079736,201.7490139489257,VET
10,114.55979080411464,113.352252945044,VET
11,230.8547290256728,226.81280843056098,VET
12,117.73671009229297,113.1814737243888,VET
13,225.8143904460047,224.2096746575295,VET
14,272.4610729195065,272.40612630445736,VET
15,213.95964741652693,207.32163228302736,VET
16,201.4877332231974,202.52357745445497,NOR
17,251.46840598566794,251.01020522220622,VET
18,200.72484172846077,187.0988928079662,VET
19,187.16208291868244,191.3334647179757,NOR
20,271.53240411775124,269.4057102960999,VET
21,293.0713487591661,295.487788658095,NOR
22,167.90265591624095,151.29211245501756,VET
23,210.56690167473383,217.4600236223489,NOR
24,275.2981618305999,272.45994292045214,VET
