Minisector,VER,PIA,Fastest
0,290.5731894698465,305.39035352533335,PIA
1,299.1656731405128,321.37153781924434,PIA
2,285.14835733,289.0421231772522,PIA
3,120.03367067642982,111.2621080992109,VER
4,226.07762385771255,219.34811034288703,VER
5,271.93627951424804,270.1535462293996,VER
6,215.92979171366665,205.09314897803637,VER
7,168.08735284338624,163.39270052609493,VER
8,224.28568172106964,210.60646483470632,VER
9,228.75443168571428,220.39144872380953,VER
10,122.03639544550305,109.9666515111723,VER
11,232.49295125157823,232.15266768474478,VER
12,119.7096837652386,118.1484827380995,VER
13,225.5112848802791,226.56159065031113,PIA
14,272.90121042957395,273.4843733364933,PIA
15,231.8699941227385,202.86854241172162,VER
16,203.21207259521813,197.927217442359,VER
17,253.3880427938624,255.5901006190476,PIA
18,210.29102837223974,205.0957748868685,VER
19,186.54693192787303,181.15008487996838,VER
20,264.43213869619063,265.9391269771126,PIA
21,289.46476785124713,293.87392289117463,PIA
22,170.9167953243501,159.5416547994979,VER
23,212.87595208492553,218.43722813790086,PIA
24,271.00882607512466,277.8718279214907,PIA
