Minisector,BOT,OCO,Fastest
0,291.12604137777777,293.5753071803687,OCO
1,300.57865592961303,302.6990531393939,OCO
2,274.011501824,283.4038168444444,OCO
3,116.18484435745947,116.7213987385477,OCO
4,231.94211540583112,216.93036814750923,BOT
5,272.82502346361906,276.0504880141283,OCO
6,209.78613672291812,219.62469918319815,OCO
7,176.0930907508772,162.69545445923328,BOT
8,213.2806977486748,213.5819005,OCO
9,228.92241109333332,217.78835299235107,BOT
10,119.81026040976958,117.3306013504943,BOT
11,228.8928715978533,228.78431970574712,BOT
12,119.9001028845055,123.03963050330655,OCO
13,228.38491255172414,222.8637908716162,BOT
14,271.48764719857553,273.1130242377143,OCO
15,214.98643384666667,225.76782003551682,OCO
16,205.9923256414547,190.21979309629629,BOT
17,252.02438253827162,254.74163914539847,OCO
18,200.1743697131313,203.90857634509803,OCO
19,191.6624997037037,184.52528160423282,BOT
20,264.9826424746667,264.098789408202,BOT
21,284.2139491710145,288.8245003659561,OCO
22,164.00010016924838,176.62206358367817,OCO
23,222.19611310241433,210.9839676694164,BOT
24,274.6747479912088,271.6065813658,BOT
25,,285.73333279999997,OCO
