Minisector,HAM,HUL,Fastest
0,232.04186661245154,228.78745317325107,HAM
1,281.2855932110255,278.73279904022075,HAM
2,295.38624056074474,294.06785846219077,HAM
3,302.50407716130707,303.1010629688766,HUL
4,277.8005062885794,269.0645189271183,HAM
5,174.54457065078898,163.51382574361293,HAM
6,262.62678239461695,257.28674744088653,HAM
7,278.41908932931705,278.6141305507246,HUL
8,224.78829994395673,216.63361867785076,HAM
9,221.67810273908657,216.13437685976533,HAM
10,193.71973441112002,184.41904991238042,HAM
11,228.27944053674523,218.9399539199233,HAM
12,213.4175949349278,206.7742167671192,HAM
13,223.369713972983,214.67197293445872,HAM
14,224.64014771213706,214.0232201648571,HAM
15,187.42328840589832,180.1913013343991,HAM
16,247.64884646891662,242.04481927801086,HAM
17,284.8424519907042,282.88050000942116,HAM
18,296.34466210443435,299.08584113695184,HUL
19,287.08811714326015,300.92440492698415,HUL
20,137.79162501304373,131.16892325232942,HAM
21,168.6495385750066,161.030884846933,HAM
22,153.06353750405137,149.05248443750128,HAM
23,210.28789848640062,207.4281369549206,HAM
24,150.6893287676846,144.64089419915106,HAM
25,185.6,179.5499989333333,HAM
