Minisector,VER,RUS,Fastest
0,253.6629344033184,251.31156693565808,VER
1,224.275811776358,218.2837950171051,VER
2,209.13605977160802,203.64632802930674,VER
3,257.10511623245657,260.1322436695162,RUS
4,270.6061069316797,272.36417376693595,RUS
5,288.80750651259257,291.5868900840671,RUS
6,159.48899791494955,151.09215821925645,VER
7,177.44743430742164,175.74085309739124,VER
8,264.9259274971429,269.38664577386743,RUS
9,295.6276022494661,298.70094245300214,RUS
10,306.67174377601367,309.73245517493564,RUS
11,305.9098780270384,312.9662168503486,RUS
12,115.09023322201494,111.59443699429598,VER
13,174.9034001300559,187.00857438994305,RUS
14,267.1071373532721,270.64926727392424,RUS
15,294.95001882364596,296.1614656620094,RUS
16,300.01666731789476,300.76283031816575,RUS
17,190.84757089007806,183.24096546115985,VER
18,223.8071284181598,211.84832102246585,VER
19,269.92106144632345,263.8664231106347,VER
20,151.89883064082923,153.8188721010518,RUS
21,143.53251551092907,138.72211358804574,VER
22,213.8768857686075,210.83786038620667,VER
23,237.95740760408006,227.73044330012763,VER
24,157.82713304517137,161.22089429416553,RUS
25,223.8499968,222.5,VER
