Minisector,RUS,RIC,Fastest
0,275.08746872242426,282.59905127961474,RIC
1,157.23213382935162,157.94177584017072,RIC
2,146.428662771811,138.26180387777066,RUS
3,221.8701581383572,224.41703128021805,RIC
4,279.3343577898137,280.512163305503,RIC
5,276.6923917336506,282.6254861536088,RIC
6,142.89118888391857,142.46815894404136,RUS
7,141.95818968374778,137.77844594909706,RUS
8,137.54710525123127,137.29103197798585,RUS
9,189.12420994589567,183.69467853117823,RUS
10,130.6212748889441,123.40414803278438,RUS
11,120.31680250191619,116.73994784779784,RUS
12,166.507054895413,166.8676912957265,RIC
13,265.0890671920773,265.3676550311155,RIC
14,282.6851242287521,283.5018571291428,RIC
15,144.9091547322121,140.06123709332357,RUS
16,206.292605223765,199.59321253918426,RUS
17,175.47718068912377,170.22250417495346,RUS
18,267.58387071410795,269.3208589514286,RIC
19,288.5144444789611,289.94834274255237,RIC
20,300.775905916753,303.22311590055335,RIC
21,306.9100287985418,310.911499968,RIC
22,309.6641362215734,313.4640350690059,RIC
23,311.205015712364,315.8301354596575,RIC
24,309.02748205835746,313.5161452175964,RIC
25,303.8458336,308.0,RIC
