Minisector,OCO,ALB,Fastest
0,281.9406488462027,284.36587170955266,ALB
1,155.82115407366229,159.20976856635716,ALB
2,169.87604407330883,164.8099690549259,OCO
3,243.7377268679241,241.9745078471477,OCO
4,274.32749979592285,282.96632997640836,ALB
5,231.0749536801865,224.64877638177094,OCO
6,213.7088000359147,212.48655065756643,OCO
7,152.41204196961104,150.19086264573144,OCO
8,231.5738746488832,228.58669729706668,OCO
9,280.9111161476839,280.2858836339431,OCO
10,298.3951947190303,301.0653924517962,ALB
11,308.3795486622579,310.1475206715627,ALB
12,310.07650375939846,313.8267285175709,ALB
13,301.4261258450179,306.6213042333968,ALB
14,126.32523675630004,126.564721852267,ALB
15,113.35920526106138,115.82774903833932,ALB
16,97.78613750064052,93.8985425484516,OCO
17,233.91417305564116,234.5049342866745,ALB
18,284.43827159929776,288.6518591940318,ALB
19,303.64962807538654,307.2741645090909,ALB
20,315.618202105679,316.59553882185463,ALB
21,314.3095834311111,320.2036576651852,ALB
22,123.61367882139218,120.94038716952522,OCO
23,203.7219215975635,196.8314264162265,OCO
24,265.21219808783394,268.60175211789476,ALB
25,,281.76363636363635,ALB
