Minisector,RAI,LEC,Fastest
0,308.40479175111113,299.4654759111111,RAI
1,254.91654167869717,245.42929356567743,RAI
2,204.1495007066052,197.86962644522586,RAI
3,267.26547479307476,264.30304739365295,RAI
4,236.36312486587738,226.54460025679012,RAI
5,121.28774007956196,120.93959547602425,RAI
6,176.63992254920512,173.76725917761462,RAI
7,257.9741112663548,255.885999232,RAI
8,289.2022723393939,288.3343909850431,RAI
9,302.6401017078748,303.03791648000004,LEC
10,307.2693273261237,309.3912697904762,LEC
11,235.63422613665628,220.50774118095237,RAI
12,146.0290379088557,144.96917255101712,RAI
13,256.9600074355917,255.31865854409938,RAI
14,289.6422343757576,288.52327851210214,RAI
15,299.82062496,299.53409083982683,RAI
16,297.2168651174603,298.11365911578946,LEC
17,260.84457464250164,257.76850103466666,RAI
18,179.25059471238094,177.22068516658777,RAI
19,189.9864413784979,182.85654058769398,RAI
20,185.30455970142899,181.67874146310936,RAI
21,247.09666756266665,248.73533287009522,LEC
22,128.59535573270475,126.32471801202384,RAI
23,204.38453547618005,196.89275081325638,RAI
24,278.62426105295236,276.31544906320346,RAI
25,,291.72500053333334,LEC
