Minisector,SAI,RIC,Fastest
0,260.1430043954122,263.54942895336586,RIC
1,135.47697307709294,137.4504715914144,RIC
2,270.79884798657594,265.5475076410661,SAI
3,308.8304657519367,309.4313651460063,RIC
4,309.40908586666666,310.4153662359596,RIC
5,317.81708572952215,319.3021634477682,RIC
6,322.04634195670997,331.3746981052678,RIC
7,324.71407531467054,341.64558134975897,RIC
8,196.87861640019366,194.97895473709573,SAI
9,205.33775070632225,196.30565077090773,SAI
10,186.21307501990228,181.7178440443525,SAI
11,180.07889075137675,171.30938091695097,SAI
12,256.5182839658456,247.55573608483436,SAI
13,285.267334814602,267.86943867648273,SAI
14,287.5152698746921,277.64579154029997,SAI
15,271.82947614150675,265.71818251100166,SAI
16,172.69564999284268,170.92930574649435,SAI
17,194.04297676577778,192.2547715679372,SAI
18,251.93328879246897,243.21938430669064,SAI
19,292.06587280471905,285.6881461934776,SAI
20,308.76042031002805,302.4436693206025,SAI
21,315.0730984552317,307.2782050680342,SAI
22,313.80279441015267,305.30001058030547,SAI
23,265.5036429171446,239.70720547918367,SAI
24,113.14544927104522,120.20294264949,RIC
