Minisector,LEC,KVY,Fastest
0,286.9935209770308,277.0031393643276,LEC
1,122.43118020729732,126.67605755577216,KVY
2,167.84240787252833,156.30407976644975,LEC
3,210.7384833921429,208.80881700501405,LEC
4,164.96728575587554,162.70220974126255,LEC
5,247.36112965102538,239.79809474501772,LEC
6,210.91689689608714,207.8247280644962,LEC
7,140.14783158119957,132.91205199742166,LEC
8,238.65000668434115,228.23916565333334,LEC
9,279.4822649934248,271.1032020084146,LEC
10,287.3539056,283.1644960268908,LEC
11,148.24600881139688,148.1975438468647,LEC
12,223.2475667186147,218.56862216417233,LEC
13,273.6192716888889,265.312794829305,LEC
14,277.53815949469055,265.6868071111111,LEC
15,100.80482782814815,101.56330924410562,KVY
16,222.54242608484847,218.03636373333336,LEC
17,275.02708406666665,266.9345765767006,LEC
18,294.37498058338736,286.4757810666667,LEC
19,304.96797629968256,296.1359374,LEC
20,308.89296305777776,300.5170042181538,LEC
21,295.28474912239767,275.8261574518518,LEC
22,159.8004755047619,154.78828291477646,LEC
23,236.05348180489904,231.09812442666666,LEC
24,276.5102165984912,270.5713624126984,LEC
25,286.0,280.2291669333333,LEC
