Minisector,ALO,STR,Fastest
0,272.97746389932155,276.24189986938774,STR
1,294.6012152,298.5210548733654,STR
2,293.4722822971362,289.9912143908571,ALO
3,176.03832429931973,177.51160070889938,STR
4,119.12188712474477,116.44285279941083,ALO
5,233.43083249777777,236.01694314666665,STR
6,276.53767063812495,283.0934466472836,STR
7,282.1907414123457,292.23516727466665,STR
8,176.16322379103084,170.24996966129294,ALO
9,140.00356511378754,139.2918467285838,ALO
10,249.88419464827587,251.0002765511111,STR
11,285.9491524398421,291.5272700639169,STR
12,295.0996669013333,302.4969205333333,STR
13,277.6698717948718,272.9121452882649,ALO
14,294.30268135238947,292.75992826514283,ALO
15,293.6102386895238,299.12453514115873,STR
16,251.11910842006017,244.39942592507936,ALO
17,221.9676144095238,213.86776025831762,ALO
18,273.59143383351727,276.34246736410256,STR
19,293.1281665706667,299.08124604186884,STR
20,291.7405958952523,297.01602466172847,STR
21,228.55954293809523,224.50616860958638,ALO
22,253.05306329144207,250.9647125310094,ALO
23,137.65510794016566,135.1847779710789,ALO
24,209.55304279074832,213.23183588289638,STR
25,255.33750080000002,,ALO
