Minisector,HAM,HAD,Fastest
0,294.7570313853535,297.32256054416524,HAD
1,306.29295461333334,306.26953134285714,HAM
2,311.9339445949556,310.73227452239587,HAM
3,314.87405864744574,301.1030388187654,HAM
4,155.43040233849047,162.8914080729449,HAD
5,209.90239970530817,211.01734064141417,HAD
6,240.98126746719564,238.79918060605394,HAM
7,273.27956117974935,268.12437404,HAM
8,249.21982927688313,250.74254494222222,HAD
9,156.0733187468078,158.03527158882946,HAD
10,216.63480225873016,218.8285829302857,HAD
11,128.22710140131142,120.64276960966171,HAM
12,235.94233617822707,220.78519349533184,HAM
13,175.3447597813152,160.5326435992521,HAM
14,218.779999182523,222.54942291369903,HAD
15,242.333547435297,241.1550607699326,HAM
16,269.2422787908618,265.9286218389611,HAM
17,300.4312143559497,289.66118096761903,HAM
18,151.31760957444624,142.8982502186949,HAM
19,166.77460046531064,162.48042697545557,HAM
20,134.87041187219364,140.46172054998746,HAD
21,228.3503506535266,229.06973906301792,HAD
22,264.2766312642938,261.5374998660355,HAM
23,248.09925121119983,249.738893696347,HAD
24,277.3736347906629,278.12678884408655,HAD
25,290.1,,HAM
