Minisector,PER,KVY,Fastest
0,289.5539568664953,311.47388949333333,KVY
1,297.9581348368254,325.8792291185298,KVY
2,302.2332421853109,334.7996795897436,KVY
3,303.295312647619,334.578621031746,KVY
4,200.4455977928109,183.68008223492063,PER
5,101.5643731168753,97.09501023955463,PER
6,203.3904619950357,204.74067183961247,KVY
7,255.22438495002226,261.2803601793876,KVY
8,279.7882814,295.4538892088889,KVY
9,287.21889062603174,298.54813227933914,KVY
10,153.3325166941004,142.47167962628131,PER
11,172.69594438446137,174.48485990347723,KVY
12,242.59756753983842,240.57069430140055,PER
13,236.26018471111112,230.86654010639688,PER
14,154.0106942408528,143.7174258904315,PER
15,218.3720715355434,211.32162437819838,PER
16,261.52708378095235,261.59877477647063,KVY
17,281.2686844309294,285.0510999661129,KVY
18,292.0681429648743,295.96972238222224,KVY
19,294.9050001066667,300.541011868177,KVY
20,280.8477772088889,270.2560998412698,PER
21,154.92553949504662,143.7338821244719,PER
22,208.9902780952381,214.12171151077692,KVY
23,257.46789388649677,265.9907891958754,KVY
24,280.53102670476187,294.60128262564103,KVY
