Minisector,PIA,VER,Fastest
0,276.510879010352,279.35518294222226,VER
1,299.5755790952727,297.5620090724894,PIA
2,301.495654532943,298.272529389811,PIA
3,186.02884748739962,187.00453195471195,VER
4,122.17456787878845,119.80701883148336,PIA
5,238.2903482669197,236.25323988524397,PIA
6,283.0547441879456,285.31539146593104,VER
7,295.3483886282433,294.40081822857144,PIA
8,181.14064700849582,169.7917909642245,PIA
9,138.8810778282705,142.0037676290619,VER
10,250.84306205857834,251.33225140029361,VER
11,288.5693993074968,292.64412235950306,VER
12,299.9086498291573,298.2798522587508,PIA
13,288.29436870350577,280.0343607936574,PIA
14,306.2423026053333,304.6062258910449,PIA
15,310.3704337721212,306.5223861597691,PIA
16,258.09876271725716,244.80520939246125,PIA
17,222.23808146951427,225.92612951126938,VER
18,277.8775216510145,284.74152275331585,VER
19,305.99135765790476,310.1795250704094,VER
20,314.51531221333335,316.7572199388238,VER
21,249.93842457766235,236.099122524,PIA
22,266.5382441470037,260.3579118092929,PIA
23,138.51154755058732,137.57430894559246,PIA
24,212.07061904147466,215.7070535798219,VER
