Minisector,VET,MAG,Fastest
0,307.4738847928345,309.8539604730718,MAG
1,237.80091041320534,236.42812732350885,VET
2,144.49142817946864,137.11643635474715,VET
3,230.04720292583715,222.28342783905782,VET
4,268.18988916128774,265.02474284650594,VET
5,289.6084272338661,289.9477764838692,MAG
6,303.24236339621694,305.1804931604635,MAG
7,289.07619386359016,300.24762820754205,MAG
8,183.53160219737336,177.15267959088504,VET
9,241.95766700150585,238.53545313688437,VET
10,274.1775599613006,272.8653445881503,VET
11,277.6618369901488,271.2309632266554,VET
12,219.9254866661742,203.88523355048756,VET
13,138.078896513175,130.56101889796986,VET
14,126.93873244656956,125.65719342164728,VET
15,180.18973525675548,166.06724304007017,VET
16,124.88869480741899,125.06770556622608,MAG
17,231.895532939048,232.69650437424752,MAG
18,210.8879002563015,190.76931175411767,VET
19,162.1650321065855,161.9722446330259,VET
20,245.64114899019282,249.671454321513,MAG
21,277.11285671746674,278.12773456142764,MAG
22,293.4507880723902,297.6630357669687,MAG
23,302.54123939562885,316.4632726314017,MAG
24,307.87564883311734,327.0854166095238,MAG
25,308.66250026666665,329.4351463269901,MAG
