Minisector,ALB,STR,Fastest
0,284.36587170955266,302.6732308126154,STR
1,159.20976856635716,151.93480865320893,ALB
2,164.8099690549259,168.48455955096654,STR
3,241.9745078471477,240.8798325418549,ALB
4,282.96632997640836,282.7375921138278,ALB
5,224.64877638177094,229.64785014386146,STR
6,212.48655065756643,203.40573335872475,ALB
7,150.19086264573144,149.76727283702022,ALB
8,228.58669729706668,224.6163266634339,ALB
9,280.2858836339431,281.3639450901264,STR
10,301.0653924517962,302.6378186593464,STR
11,310.1475206715627,321.37485265112304,STR
12,313.8267285175709,332.2981854579065,STR
13,306.6213042333968,323.3476782072161,STR
14,126.564721852267,127.84381816682912,STR
15,115.82774903833932,116.79191334231082,STR
16,93.8985425484516,96.99473499037197,STR
17,234.5049342866745,232.67620292965688,ALB
18,288.6518591940318,286.12681652340547,ALB
19,307.2741645090909,317.8482135495238,STR
20,316.59553882185463,334.70652482906667,STR
21,320.2036576651852,334.7042840395062,STR
22,120.94038716952522,114.85643957728048,ALB
23,196.8314264162265,194.8440975955067,ALB
24,269.25984633018186,270.55179030476194,STR
