Minisector,GAS,LAW,Fastest
0,308.70208531319724,308.3658337653231,GAS
1,196.72762314760732,179.28800872615386,GAS
2,111.70978030310928,107.15143637167611,GAS
3,193.6485560942153,200.83366485768994,LAW
4,253.4878915194846,256.30085207325584,LAW
5,285.1696088099567,283.3102023332213,GAS
6,302.0901442841527,298.824034058836,GAS
7,227.90017392909576,234.30742152507938,LAW
8,146.7072305659492,143.35614229402597,GAS
9,229.1146030374603,230.68345139352382,LAW
10,270.79424169385624,267.1751921441976,GAS
11,224.77108490473165,220.038111071809,GAS
12,170.09171138667867,175.80795870896551,LAW
13,109.17280162746401,102.80973641068418,GAS
14,105.28027690338972,104.30716432388937,GAS
15,136.12449812843693,132.80590646349205,GAS
16,114.59964573980129,117.02541176173415,LAW
17,203.26495455753727,205.2215242985862,LAW
18,157.30525030532309,144.9944968443598,GAS
19,152.31821862042952,159.36839222695116,LAW
20,241.76257158929397,245.4454026365714,LAW
21,271.40628227555555,274.06977964800046,LAW
22,290.85629353238596,291.62538143666666,LAW
23,302.45868035555554,300.5347916602469,GAS
24,307.84615384615387,304.5813340329412,GAS
25,308.0,,GAS
