Minisector,HUL,BEA,Fastest
0,250.42127790225953,248.33499344511503,HUL
1,286.9353262284058,284.737499952,HUL
2,169.92482839474667,163.11658635676338,HUL
3,160.55306237353383,155.60030850584695,HUL
4,257.3598581655065,254.16620999346995,HUL
5,272.27580260481795,269.245641420951,HUL
6,240.87789786144182,235.88483028223143,HUL
7,208.20305818329584,200.16253477429694,HUL
8,160.12546885921088,160.6941416697203,BEA
9,217.75437403293418,216.59280357529445,HUL
10,271.3817548282828,269.4970158706842,HUL
11,115.84173952744831,123.36142551465369,BEA
12,216.945008046541,218.4187342690385,BEA
13,278.0193802869422,277.1513415248198,HUL
14,298.04477294203207,304.8712175511203,BEA
15,307.110326843637,319.23715535772766,BEA
16,228.29426741904763,215.28897265786023,HUL
17,130.24797281606695,127.7191993087172,HUL
18,132.26628638877048,133.5886574419753,BEA
19,123.66239389416411,121.37598378308626,HUL
20,232.15564844458302,222.68703669203347,HUL
21,262.81972877640004,257.3635638012644,HUL
22,236.2879172147667,230.45059630502698,HUL
23,213.8948090242034,206.84359004281504,HUL
24,143.03181082353382,137.80347969516205,HUL
