Minisector,PER,SAI,Fastest
0,288.802869557477,299.1504408324208,SAI
1,297.0419124705882,310.7836472049696,SAI
2,174.62730897537304,160.47183679360387,PER
3,220.67725557460315,216.73517618286732,PER
4,272.92811959680756,274.07521903157897,SAI
5,292.4114357493858,298.2727580023236,SAI
6,299.0104636471178,311.714625960215,SAI
7,185.35210381845403,179.87085297142858,PER
8,124.22095492691845,118.65137499802286,PER
9,247.01345762551972,251.27481076363637,SAI
10,282.17910367919796,294.78000834546816,SAI
11,291.59517518596493,311.2895828740741,SAI
12,154.24821589479743,142.40142882169678,PER
13,189.7398079624156,188.07334164353742,PER
14,254.81599009477404,255.91758844630579,SAI
15,211.47566186835022,201.65689174016595,PER
16,219.8474059946093,215.5725978389466,PER
17,217.35247658057142,216.6765591505743,PER
18,241.34413440014217,240.32047100289856,PER
19,273.29979728423933,271.35341488120304,PER
20,289.01754374736845,287.881071734996,PER
21,269.16884989111907,266.37604513595613,PER
22,232.0450839983437,228.17798941524,PER
23,203.42837714188434,202.40540100740742,PER
24,261.19132731212886,261.8816096750205,SAI
