Minisector,SAI,GIO,Fastest
0,301.3857355842386,302.4458932268534,GIO
1,291.780215980599,306.56209622552376,GIO
2,151.61219576152442,155.0846093123928,GIO
3,231.38449667340515,224.81643080723114,SAI
4,285.7337560659557,283.333266659536,SAI
5,309.96758710960006,308.1166328952177,SAI
6,322.51627110322863,321.33312414175754,SAI
7,138.6223642266767,149.1478410766364,GIO
8,148.63731861381459,133.96030579572184,SAI
9,263.6439364799005,253.37834494191324,SAI
10,302.06530427854875,293.85788664100744,SAI
11,315.3253475473649,307.7143540238814,SAI
12,137.68480952589783,141.74210717828808,GIO
13,206.50198385953033,188.18282381446798,SAI
14,250.71872532779773,256.5405793591493,GIO
15,195.95157910062113,191.63905634947318,SAI
16,222.90566661796504,216.61535413616878,SAI
17,212.06391554798654,205.71476044693014,SAI
18,247.83986041480406,238.23656702411287,SAI
19,276.9532243293476,272.59084949877325,SAI
20,284.0,289.8707482993197,GIO
21,258.62031469082456,264.4706667368585,GIO
22,223.46918695501594,227.94635314565122,GIO
23,208.27941668062957,202.36052375333225,SAI
24,263.60111825102047,265.7810714971429,GIO
25,,288.5843749333333,GIO
