Minisector,PER,HAM,Fastest
0,272.16577379047624,269.5263425011472,PER
1,249.0766076815423,240.74676775404322,PER
2,114.55284815773211,106.29033336860978,PER
3,170.83115102862365,166.4768234002797,PER
4,183.0159123061074,164.1437637943604,PER
5,212.97462854461529,204.06913394634805,PER
6,269.2895010552281,271.8216551227937,HAM
7,286.5388095238095,285.8440451823388,PER
8,202.03090955199283,169.55913792201426,PER
9,131.78019449103044,121.26798254060743,PER
10,126.83557233671195,127.9230533636359,HAM
11,178.96912227509378,193.17529188656084,HAM
12,230.39400851339332,189.52445579003953,PER
13,130.2940756926425,128.84008068615015,PER
14,152.60829391765083,128.29284780763638,PER
15,114.03084531437449,117.45605468071817,HAM
16,242.00183151799783,252.65527201066666,HAM
17,150.29706780241045,135.69680278215094,PER
18,188.63354438117446,196.18146129439154,HAM
19,126.5587344481744,115.17467029754627,PER
20,119.70918160819639,123.19638956034065,HAM
21,120.16203431658876,117.2705847889386,PER
22,135.7171240664836,142.16438407020183,HAM
23,217.33048562398875,209.32986028120288,PER
24,234.25151454528444,231.31261062158137,PER
