Minisector,VET,BOT,Fastest
0,281.1301180717354,279.44184466285714,VET
1,219.3243685302471,223.35998503366883,BOT
2,113.96207422974771,118.41569999195087,BOT
3,202.1458932760172,201.92637973919412,VET
4,175.70228161681413,177.08501293697682,BOT
5,225.21148193179772,223.98586801587302,VET
6,278.3191820399568,279.0992778580433,BOT
7,295.04495607017543,297.5239034385965,BOT
8,175.75757292429935,172.51410375175135,VET
9,126.83370734119481,127.87028314934572,BOT
10,137.05130322517732,140.7803254576441,BOT
11,199.25806610415165,204.0152112057072,BOT
12,212.37596344615383,207.71450635061726,VET
13,131.8857957733333,137.49741988187037,BOT
14,147.38985220586844,135.85993617172417,VET
15,128.80701794160026,144.07846262118204,BOT
16,258.01145141399934,259.5763318020684,BOT
17,138.51295468279162,137.31436717701564,VET
18,206.99049785904762,211.998571297243,BOT
19,137.2506381641237,133.6447611994083,VET
20,145.01581319607135,141.3860795395532,VET
21,128.22341203004257,127.67983580627403,VET
22,151.0146057211519,165.83857598939716,BOT
23,220.2628411270073,227.79239114202898,BOT
24,238.18042514608197,246.0572550141742,BOT
25,267.27499946666666,,VET
