Minisector,VET,OCO,Fastest
0,280.84761519795467,288.4384117314449,OCO
1,153.45723121896523,153.77256898210823,OCO
2,128.19443964511908,142.87438756543713,OCO
3,228.00815516956925,219.009124313795,VET
4,283.28589693558706,281.0700455476953,VET
5,277.7985211916988,288.10007171370853,OCO
6,141.48745138230458,133.2183275189577,VET
7,140.28926836577708,132.6888411296513,VET
8,133.6912352836419,146.35389596781636,OCO
9,178.18398076627352,169.57722880352514,VET
10,113.50973691795014,131.84396729950427,OCO
11,112.28153081206852,123.70344868834296,OCO
12,174.8495554108413,146.39517950819763,VET
13,268.1355162604052,259.85036632771676,VET
14,287.223546705196,285.0010365725552,VET
15,138.48658744115696,146.99607589303812,OCO
16,190.88789433599217,206.2615800829165,OCO
17,177.21666145124334,156.4048135497998,VET
18,271.65659437941923,265.073011338488,VET
19,294.24001158252145,293.68952380952385,VET
20,308.84789341198086,309.3105758589091,OCO
21,317.09673597333335,318.6451238957191,OCO
22,320.05974028051946,322.5575871496924,OCO
23,322.37415276800004,324.43145993501355,OCO
24,318.99436207274505,318.10501609050186,VET
25,314.9041664,313.71805564444446,VET
