Minisector,SAI,TSU,Fastest
0,292.4854681406555,290.5752452860618,SAI
1,156.07865934371915,160.43257309513783,TSU
2,179.25462526715899,171.22125801373187,SAI
3,257.1591242584049,252.239609242197,SAI
4,287.0842277052632,286.47947929227513,SAI
5,252.29723166548152,251.09390971496694,SAI
6,226.7543797019798,222.85813781198053,SAI
7,149.9991048859801,150.11115435172164,TSU
8,220.18668058656277,230.75457871116188,TSU
9,279.46787688178756,279.84189386323976,TSU
10,297.7864659841604,298.1689325018182,TSU
11,307.3096404301365,306.63164682850123,SAI
12,312.4179839759398,309.9785270100585,SAI
13,313.09561460932326,306.37506650775515,SAI
14,127.40850321933986,125.80471465659875,SAI
15,118.06449772357384,119.014012582642,TSU
16,103.74511418235988,99.00459392625181,SAI
17,233.3310006137566,231.94278683668688,SAI
18,287.79497230829105,285.32571402742855,SAI
19,307.34609014320864,305.2259351597279,SAI
20,318.03751912891323,315.62019634792546,SAI
21,322.20540366666665,317.94659530264454,SAI
22,122.05766529574795,123.14137701020707,TSU
23,202.30835322567742,196.496417460566,SAI
24,270.436630849895,265.2958193974026,SAI
25,,281.27410651428573,TSU
