Minisector,SAI,RUS,Fastest
0,249.86012596657147,254.1490893135129,RUS
1,119.69663177193596,123.85994280808956,RUS
2,256.02121201965963,259.98537486961044,RUS
3,302.9333773488552,300.8003448275862,SAI
4,304.32032064610524,298.5258264442182,SAI
5,311.98358149274725,307.5106790123457,SAI
6,314.813742315873,310.91075312820516,SAI
7,313.2000609188571,305.8976355959629,SAI
8,183.76253713314057,187.35764065220852,RUS
9,181.80923539374092,188.8595646988592,RUS
10,170.8400510220358,175.42676240421088,RUS
11,169.10111403067964,178.9564524747595,RUS
12,251.3621576626163,255.15516547806445,RUS
13,268.74703942066003,270.0782560262128,RUS
14,278.2239722446828,278.79116128935067,RUS
15,267.6202225879365,267.1267519362371,SAI
16,166.9711050331108,172.44687405952408,RUS
17,175.6649411918992,182.53284442087974,RUS
18,231.05504225613444,234.1887582452381,RUS
19,279.7562289377289,278.8025983171796,SAI
20,301.1306130831911,298.41551381158433,SAI
21,307.0580116752726,304.07488569295236,SAI
22,305.2421330901745,302.24567469460317,SAI
23,249.55927458990053,241.4566836195955,SAI
24,108.67083958450594,108.06362549497908,SAI
25,222.0999936,224.2125024,RUS
