Minisector,GAS,TSU,Fastest
0,308.70208531319724,307.73514290962964,GAS
1,196.72762314760732,182.0523303774638,GAS
2,111.70978030310928,113.89221935117502,TSU
3,193.6485560942153,202.33837284749313,TSU
4,253.4878915194846,257.3370161149783,TSU
5,285.1696088099567,284.9015386978201,GAS
6,302.0901442841527,298.515328720084,GAS
7,227.90017392909576,228.60844720734198,TSU
8,146.7072305659492,146.0070793047453,GAS
9,229.1146030374603,230.97204285778537,TSU
10,270.79424169385624,269.58102457102757,GAS
11,224.77108490473165,222.4534770991023,GAS
12,170.09171138667867,173.92480517549302,TSU
13,109.17280162746401,108.31411835772087,GAS
14,105.28027690338972,107.37993254776823,TSU
15,136.12449812843693,133.87002094940937,GAS
16,114.59964573980129,115.28214700254544,TSU
17,203.26495455753727,202.25587498259642,GAS
18,157.30525030532309,160.04442343160585,TSU
19,152.31821862042952,143.28604735459524,GAS
20,241.76257158929397,236.61422048663476,GAS
21,271.40628227555555,272.66580548256127,TSU
22,290.85629353238596,291.49785248085703,TSU
23,302.45868035555554,299.93010428663104,GAS
24,307.84615384615387,305.13906248,GAS
25,308.0,306.0,GAS
