Minisector,RUS,PER,Fastest
0,290.2706583970441,298.2389932387662,PER
1,301.2601040281437,316.278074074074,PER
2,304.2790849673203,322.3886364218182,PER
3,300.88038352791784,311.4249806357937,PER
4,169.00812278709654,168.68767434404506,RUS
5,207.86217027849096,203.5304548327162,RUS
6,236.12188330675173,234.63721853218445,RUS
7,266.04331759382677,266.7299924028793,PER
8,250.68361293762518,246.9877484587992,RUS
9,159.52494523656085,159.30762874509804,RUS
10,221.90852330588888,219.14563903458054,RUS
11,123.29342497331731,133.5033873347327,PER
12,224.2131897203326,229.7603126533333,PER
13,173.51461520088998,177.54413754825967,PER
14,210.8742365739473,215.85711932038095,PER
15,242.6610235041512,232.0478016067357,RUS
16,263.47779040404043,258.7612526884748,RUS
17,289.0611301431762,280.85902508531626,RUS
18,153.44754297060342,151.03465537084392,RUS
19,163.21910001255267,167.08110109632094,PER
20,132.6072344871721,143.32482590725454,PER
21,226.83558093210925,221.76418679492065,RUS
22,266.2538609625397,247.95455044982614,RUS
23,253.50515909079073,239.8879501560779,RUS
24,275.7544668994668,268.1871188734276,RUS
