Minisector,NOR,ALO,Fastest
0,302.7773359030303,303.0893228666667,ALO
1,230.78187451481824,224.72764480298613,NOR
2,135.63890714124778,130.19597971677328,NOR
3,219.24820695804368,215.37623005170067,NOR
4,264.13890248804233,259.89482021668647,NOR
5,287.14950534253967,283.15485478496726,NOR
6,300.0305273703156,297.3870181666667,NOR
7,276.69231821027074,264.4974131329749,NOR
8,173.23310789082825,168.89361679479157,NOR
9,241.1883994259321,240.06687118846858,NOR
10,274.3091077851429,270.870615265702,NOR
11,273.7088215051543,253.80968099089947,NOR
12,220.78412440071773,210.21935574787878,NOR
13,132.71382018717725,119.27965651314035,NOR
14,126.5498895607444,127.55913488768769,ALO
15,168.71691884813393,154.34678763148096,NOR
16,126.16280757651872,121.05628961294093,NOR
17,234.4353022576441,229.2943289304664,NOR
18,179.58409553627777,173.58988037820112,NOR
19,161.09130422179894,170.76590222034446,ALO
20,248.94252452562193,244.71113405513788,NOR
21,276.4327765900187,270.871969838522,NOR
22,291.19774010753247,288.04803057237456,NOR
23,299.9904433038184,297.5041200261072,NOR
24,302.6290102320921,301.33529402352946,NOR
25,304.0,,NOR
