Minisector,NOR,LIN,Fastest
0,300.5820870870706,298.4295430523996,NOR
1,207.75288276139383,206.3799578845019,NOR
2,223.81436968655237,222.46491459809525,NOR
3,274.7010281026757,272.2452286695554,NOR
4,244.97162017376638,234.99841845424763,NOR
5,126.49270335991018,120.99029538521467,NOR
6,202.26344849486966,200.81289308685047,NOR
7,247.15654182090597,244.87127803345456,NOR
8,232.47483948433862,228.93742854700082,NOR
9,239.59647185553195,229.49476312926512,NOR
10,286.4105369587252,281.14753187479425,NOR
11,308.83720877291415,307.3425765663167,NOR
12,316.6958806820202,323.1323673204417,LIN
13,311.3108939088889,324.19854486942245,LIN
14,302.6642948404762,316.71026529680563,LIN
15,261.66577517876453,239.2643763477537,NOR
16,240.87373706666668,226.82605249792903,NOR
17,279.8240424617744,277.8897647238512,NOR
18,287.8219948039143,289.961954618759,LIN
19,162.85503772650486,152.33940835391698,NOR
20,199.04185203665494,190.2194483348148,NOR
21,181.19965821683294,172.75857608996864,NOR
22,133.06539192072697,125.44335718885965,NOR
23,236.94329830214025,232.461862979409,NOR
24,287.73174637206347,287.53537167243917,NOR
25,297.4375008,290.7833642666667,NOR
