Minisector,SAI,LEC,Fastest
0,249.86012596657147,259.64464706097186,LEC
1,119.69663177193596,120.99345982749018,LEC
2,256.02121201965963,258.5632149217535,LEC
3,302.9333773488552,300.7375290096649,SAI
4,304.32032064610524,301.7943303284656,SAI
5,311.98358149274725,315.6281104594709,LEC
6,314.813742315873,330.10349881343916,LEC
7,313.2000609188571,333.0003883826388,LEC
8,183.76253713314057,189.82355159529814,LEC
9,181.80923539374092,186.29983452821088,LEC
10,170.8400510220358,180.6239212344052,LEC
11,169.10111403067964,177.827993569188,LEC
12,251.3621576626163,253.55509750631194,LEC
13,268.74703942066003,270.6480681946921,LEC
14,278.2239722446828,274.87740957976564,SAI
15,267.6202225879365,270.30540603546217,LEC
16,166.9711050331108,177.87436281784096,LEC
17,175.6649411918992,182.2769627648865,LEC
18,231.05504225613444,232.870148882443,LEC
19,279.7562289377289,278.82284813184873,SAI
20,301.1306130831911,299.5854213425838,SAI
21,307.0580116752726,303.48706169627707,SAI
22,305.2421330901745,304.34929042285717,SAI
23,249.55927458990053,234.3816458729341,SAI
24,108.67083958450594,113.50998788490419,LEC
25,222.0999936,,SAI
