Minisector,LAW,COL,Fastest
0,311.18067162642666,312.4046229783252,COL
1,326.25119779952496,328.8859792224414,COL
2,331.26356269286555,332.73608513196956,COL
3,294.1291931854264,302.0646193366667,COL
4,145.89097287471247,149.69621185104663,COL
5,183.1823863556729,191.38287075710457,COL
6,208.29910065789943,207.50715109605653,LAW
7,258.3430673318032,253.74099748237936,LAW
8,223.74029236324526,228.39330774030879,COL
9,144.10335363441925,145.02615174217965,COL
10,196.19897868573855,203.60841924295067,COL
11,119.37329189923877,115.16717455682091,LAW
12,233.4645852367231,233.31134442870797,LAW
13,169.15387272911872,187.51795176190382,COL
14,207.06695703756085,195.77348909991463,LAW
15,216.09788278452464,213.64779819291286,LAW
16,253.13141819710268,244.520676692679,LAW
17,288.27040832247087,286.40291650855806,LAW
18,138.8541101227664,147.55487369196996,COL
19,150.31072581313705,147.58320974746448,LAW
20,127.895653520198,130.2596298372026,COL
21,219.06811181568438,213.855911097736,LAW
22,247.27637555569063,244.8609802943406,LAW
23,220.16205528897646,226.44799595248662,COL
24,278.80883675321314,273.1145760259824,LAW
25,,300.140626,COL
