Minisector,ALB,VER,Fastest
0,320.1284231556663,332.36087096942356,VER
1,326.99953507032444,337.8958333192982,VER
2,322.0502383009524,339.04999999999995,VER
3,170.17899558204834,172.06189122729296,VER
4,134.6152659546547,134.2549300836439,ALB
5,268.7600492503556,268.13019328003185,ALB
6,301.1035374017403,299.9475,ALB
7,309.075,307.7342292128621,ALB
8,257.9682619977143,261.6186594202899,VER
9,156.02973076178915,152.3390479539715,ALB
10,223.63664108140162,221.2195533202143,ALB
11,224.87709736780045,231.05826374790675,VER
12,201.2332607172414,199.75151728456356,ALB
13,274.75659693333336,272.0177487168831,ALB
14,307.8419640380952,307.3414962491803,ALB
15,316.9823107714873,319.99583336296297,VER
16,263.5294359384681,260.8842379459048,ALB
17,217.14940155246006,214.34766256211506,ALB
18,277.17130374801644,276.7006003324429,ALB
19,309.8336618825924,309.06931945329745,ALB
20,321.98552639999997,323.1947915657143,VER
21,298.3909121499321,305.93958330666663,VER
22,212.7322658662288,219.22781610685894,VER
23,271.32151355577463,271.4540904212873,VER
24,305.0961452553288,305.75874381852327,VER
25,,316.2083328,VER
