Minisector,LEC,OCO,Fastest
0,273.2762166013288,274.18245166526316,OCO
1,294.2146215539859,296.2497179588638,OCO
2,292.4602431111111,293.91233335466666,OCO
3,185.37425994016036,181.92944258304297,LEC
4,117.8400643793884,114.80822787162077,LEC
5,234.72300783184468,232.01213952972432,LEC
6,281.3054283152009,278.92596127179485,LEC
7,295.3149998506667,288.3142079086632,LEC
8,181.11241192977735,174.8733145142857,LEC
9,141.4756435942378,136.71892649214197,LEC
10,247.9164006568981,246.91513909147403,LEC
11,285.05200042666667,286.486166272,OCO
12,296.3489098122863,297.56928876416487,OCO
13,276.5852843548992,271.1058642962963,LEC
14,293.5773067936508,290.9816185660952,LEC
15,296.6009080448169,295.89638991357725,LEC
16,257.94798753103447,246.45016036063492,LEC
17,221.17925484675587,219.85969464378937,LEC
18,275.5148154469136,273.76826843076924,LEC
19,296.6404115605887,295.7585540007405,LEC
20,303.2506665386667,295.66600008533334,LEC
21,234.70373993766756,225.72706656458092,LEC
22,261.31439179561346,246.29359512906404,LEC
23,137.66222867357038,138.56253369197125,OCO
24,208.54706481818283,203.60860076375133,LEC
25,254.3250048,254.55833386666666,OCO
