Minisector,RUS,PIA,Fastest
0,261.70832856960993,259.80806613946874,RUS
1,131.08367941047618,131.812065285739,PIA
2,200.39882227984037,200.65713781604276,PIA
3,244.17708377142858,245.96894031238094,PIA
4,253.93414053688886,257.36745944533334,PIA
5,171.60162571033752,174.3272576474638,PIA
6,141.76872440575892,143.67923420139684,PIA
7,178.5628149461472,179.73808370952355,PIA
8,96.00068115725871,98.1401041744993,PIA
9,71.40730672388803,69.10176122454367,RUS
10,94.896879849764,90.04506628360295,RUS
11,183.04990998949495,172.9940294675664,RUS
12,245.87888432006338,244.50794468491227,RUS
13,271.0242554130379,269.0650116114286,RUS
14,272.3638201422222,273.09645728761905,PIA
15,106.33688521906787,108.66375711115984,PIA
16,146.3212874011993,138.69099837254603,RUS
17,180.73385274850543,179.47290679880754,RUS
18,198.53380561624877,189.91526575961518,RUS
19,207.67290849044295,204.97436812282828,RUS
20,135.82455320170084,131.21360320479843,RUS
21,98.08497237189096,116.9960538471573,PIA
22,99.22131776046324,87.80134295898554,RUS
23,196.81963361918156,188.24700708068525,RUS
24,249.10706304313723,249.63985248627455,PIA
25,,264.13999872,PIA
